plate	sample	acquisition	A_cleavage_1	SN_A_cleavage_1	A_cleavage_2	SN_A_cleavage_2	A_intact	SN_A_intact	B_cleavage_1	SN_B_cleavage_1	B_cleavage_2	SN_B_cleavage_2	B_intact	SN_B_intact	E_cleavage_1	SN_E_cleavage_1	E_cleavage_2	SN_E_cleavage_2	E_intact	SN_E_intact	F_cleavage_1	SN_F_cleavage_1	F_cleavage_2	SN_F_cleavage_2	F_intact	SN_F_intact	F5_cleavage_1	SN_F5_cleavage_1	F5_cleavage_2	SN_F5_cleavage_2	F5_intact	SN_F5_intact
157016	288-A	1	.	.	.	.	3287.623776025293	1444.0770212225921	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	288-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	288-B	1	.	.	.	.	.	.	.	.	.	.	4026.7260726971958	568.88358672876848	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	288-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	288-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3616.215082791889	947.18100925588317	.	.	3787.4096306111824	28.451427939336082	.	.	.	.	.	.	.	.
157016	288-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	288-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5112.809738062102	384.64733139055357
157016	288-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	387-A	1	.	.	.	.	3287.443739904314	1830.7180927694815	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	387-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	387-B	1	.	.	2307.7792060429715	89.685624208604068	.	.	1761.0045675359984	188.63346711485821	2284.735297236527	474.14409307461381	4026.3762463333828	672.63246279905786	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	387-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	387-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3615.9859777593392	1352.7413265953635	.	.	3786.9362034559822	26.168473666157809	.	.	.	.	.	.	.	.
157016	387-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	387-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5112.9581421315115	809.85456105583762
157016	387-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	692-A	1	.	.	.	.	3287.5129227401171	1861.0620162640248	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	692-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	692-B	1	.	.	.	.	.	.	.	.	.	.	4026.5410697721813	1363.8305515069844	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	692-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	692-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3615.9468215549537	1123.8663255904971	.	.	3786.9971814783785	29.350523178133923	.	.	.	.	.	.	.	.
157016	692-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	692-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5112.4127182887023	713.54580563373781
157016	692-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	776-A	1	.	.	.	.	3287.5968975163833	2382.541579168525	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	776-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	776-B	1	.	.	2307.1028099110626	79.088331544108286	.	.	1761.1094485207639	644.14429806304065	2284.9717826685255	1002.3484964071988	4026.6081167779948	1280.1458072851817	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
157016	776-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
