plate	sample	acquisition	A_cleavage_1	SN_A_cleavage_1	A_cleavage_2	SN_A_cleavage_2	A_intact	SN_A_intact	B_cleavage_1	SN_B_cleavage_1	B_cleavage_2	SN_B_cleavage_2	B_intact	SN_B_intact	E_cleavage_1	SN_E_cleavage_1	E_cleavage_2	SN_E_cleavage_2	E_intact	SN_E_intact	F_cleavage_1	SN_F_cleavage_1	F_cleavage_2	SN_F_cleavage_2	F_intact	SN_F_intact	F5_cleavage_1	SN_F5_cleavage_1	F5_cleavage_2	SN_F5_cleavage_2	F5_intact	SN_F5_intact
164243	257-A	1	.	.	.	.	3289.2074829027929	1318.1278322590429	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	257-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	257-B	1	.	.	.	.	.	.	.	.	.	.	4028.5184238228358	746.61508739248632	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	257-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	257-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3616.7295506420478	227.69232734774531	.	.	3788.220981055762	16.585406097821764	.	.	.	.	.	.	.	.
164243	257-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	257-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5112.2349236819809	402.46410674216344
164243	257-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	425-A	1	.	.	.	.	3289.155691934337	1866.7202134459062	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	425-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	425-B	1	.	.	2308.3960116045569	22.437458229724648	.	.	1761.9696858162731	122.19903998333704	2286.2678313278825	141.46551792435753	4028.0911649551344	229.85887204868405	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	425-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	425-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3617.467684648444	554.40119926128432	.	.	3788.5957874012838	22.918808898884286	.	.	.	.	.	.	.	.
164243	425-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	425-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5114.1514691045149	251.82025088975055
164243	425-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	449-A	1	.	.	.	.	3287.9619090238366	783.05889573245679	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	449-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	449-B	1	.	.	2307.6715587937479	29.722258709125168	.	.	1761.533153209687	214.74948120839363	2285.2557938880768	761.9593855708041	4027.337259273495	968.20041136615123	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	449-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	449-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3616.7902517842913	792.69101551895199	.	.	3787.6082405515212	20.593758768504514	.	.	.	.	.	.	.	.
164243	449-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	449-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5113.4402115611538	423.66624655849796
164243	449-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	474-A	1	.	.	2309.1452211612391	27.249053053575164	3289.5578664509617	1092.4165172220773	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	474-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	474-B	1	.	.	.	.	.	.	.	.	.	.	4029.4996289864343	760.20231309483518	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	474-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	474-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3618.5502279004122	607.56496065008821	.	.	3789.505702840283	23.253735014693525	.	.	.	.	.	.	.	.
164243	474-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	474-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5115.3968827863664	278.2161868425456
164243	474-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	502-A	1	999.11555681102709	369.90673628271134	2308.6401375814407	904.10660204078522	3289.1659013649305	1320.1120269768664	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	502-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	502-B	1	.	.	.	.	.	.	.	.	.	.	4028.6582836847406	993.45744134486199	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	502-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	502-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3618.0030323498681	429.68210779209932	.	.	3789.1150387190128	24.625744138110544	.	.	.	.	.	.	.	.
164243	502-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	502-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5114.8395899228608	310.74357886302221
164243	502-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	559-A	1	.	.	.	.	3288.5460970928161	1211.2545472892045	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	559-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	559-B	1	.	.	.	.	.	.	.	.	.	.	4026.7798760689261	483.5551041061259	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	559-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	559-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3615.5721442784043	212.41788720232805	.	.	3788.6953780211147	25.883642620066979	.	.	.	.	.	.	.	.
164243	559-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5111.1348507866514	246.47613035930613
164243	559-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-A	1	.	.	.	.	3289.9591981086446	1019.10025056018	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-A	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-B	1	.	.	.	.	.	.	.	.	.	.	4029.6104285380788	470.49354698511718	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-B	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-E	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	3618.621165008763	222.83386414617601	.	.	3791.1648665413641	22.821159339239781	.	.	.	.	.	.	.	.
164243	628-E	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
164243	628-F	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	5115.4074854065984	526.89550245889541
164243	628-F	2	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
